Mes-Ano;cdProduto;Meta
1-2019;111;R$ 412,77
1-2019;114;R$ 1.187,52
1-2019;118;R$ 3.629,99
1-2019;120;R$ 6.566,28
1-2019;142;R$ 1.175,18
1-2019;143;R$ 102,27
1-2019;144;R$ 125,06
1-2019;145;R$ 42,21
1-2019;146;R$ 5.687,69
1-2019;157;R$ 6.731,46
1-2019;158;R$ 5.019,75
1-2019;159;R$ 1.622,12
1-2019;168;R$ 1.045,91
1-2019;175;R$ 970,83
1-2019;176;R$ 1.674,23
1-2019;180;R$ 1.994,78
1-2019;183;R$ 98,28
1-2019;187;R$ 427,92
1-2019;191;R$ 19,56
1-2019;202;R$ 2.999,29
1-2019;203;R$ 2.307,83
1-2019;210;R$ 1.855,85
1-2019;231;R$ 956,23
1-2019;235;R$ 4.990,89
1-2019;238;R$ 6.153,14
1-2019;252;R$ 15,64
1-2019;256;R$ 1.024,63
1-2019;257;R$ 2.396,82
1-2019;258;R$ 337,04
1-2019;260;R$ 1.957,60
1-2019;264;R$ 2.931,22
1-2019;265;R$ 912,27
1-2019;271;R$ 14.584,78
1-2019;272;R$ 337,74
1-2019;276;R$ 291,63
1-2019;278;R$ 2.993,44
1-2019;279;R$ 1.068,11
1-2019;280;R$ 847,14
1-2019;282;R$ 357,71
1-2019;283;R$ 868,25
1-2019;290;R$ 1.331,30
1-2019;291;R$ 1.433,44
1-2019;292;R$ 725,24
1-2019;304;R$ 353,30
1-2019;305;R$ 539,86
1-2019;318;R$ 4.906,17
1-2019;320;R$ 2.173,52
1-2019;321;R$ 1.991,95
1-2019;334;R$ 1.042,12
1-2019;370;R$ 3.546,97
1-2019;378;R$ 2.144,61
1-2019;379;R$ 933,41
1-2019;384;R$ 397,83
1-2019;386;R$ 261,31
1-2019;392;R$ 226,67
1-2019;406;R$ 247,10
1-2019;438;R$ 727,14
1-2019;439;R$ 3.592,66
1-2019;440;R$ 6.884,71
1-2019;442;R$ 4.650,66
1-2019;462;R$ 354,66
1-2019;467;R$ 488,10
1-2019;468;R$ 1.061,07
1-2019;469;R$ 1.110,03
1-2019;476;R$ 373,41
1-2019;481;R$ 334,57
1-2019;483;R$ 157,62
1-2019;487;R$ 300,43
1-2019;492;R$ 2.520,28
1-2019;513;R$ 2.322,39
1-2019;514;R$ 255,53
1-2019;527;R$ 12.517,65
1-2019;548;R$ 1.903,62
1-2019;559;R$ 1.244,25
1-2019;581;R$ 3.482,07
1-2019;654;R$ 1.426,13
1-2019;660;R$ 442,06
1-2019;661;R$ 984,72
1-2019;662;R$ 12.589,67
1-2019;665;R$ 619,44
1-2019;668;R$ 3.440,74
1-2019;691;R$ 1.783,68
1-2019;692;R$ 815,89
1-2019;693;R$ 3.213,15
1-2019;694;R$ 794,21
1-2019;695;R$ 609,86
1-2019;696;R$ 220,56
1-2019;702;R$ 1.884,78
1-2019;703;R$ 209,42
1-2019;741;R$ 2.715,47
1-2019;771;R$ 184,09
1-2019;775;R$ 426,62
1-2019;824;R$ 304,15
1-2019;825;R$ 119,47
1-2019;829;R$ 239,44
1-2019;830;R$ 103,36
1-2019;835;R$ 3.313,99
1-2019;838;R$ 3.064,86
1-2019;839;R$ 2.560,93
1-2019;876;R$ 3.157,49
1-2019;878;R$ 1.642,70
1-2019;886;R$ 2.531,59
1-2019;895;R$ 2.073,22
1-2019;896;R$ 2.177,87
1-2019;935;R$ 1.292,51
1-2019;965;R$ 381,64
1-2019;1019;R$ 1.828,99
1-2019;1048;R$ 2.622,10
1-2019;1049;R$ 663,11
1-2019;1073;R$ 624,55
1-2019;1074;R$ 196,47
1-2019;1082;R$ 576,84
1-2019;1085;R$ 407,46
1-2019;1086;R$ 551,68
1-2019;1126;R$ 4.782,77
1-2019;1128;R$ 1.524,35
1-2019;1131;R$ 958,21
1-2019;1132;R$ 1.114,07
1-2019;1133;R$ 4.024,65
1-2019;1135;R$ 3.419,64
1-2019;1139;R$ 72,00
1-2019;1150;R$ 1.428,04
1-2019;1151;R$ 659,11
1-2019;1152;R$ 225,28
1-2019;1154;R$ 3.597,80
1-2019;1155;R$ 761,92
1-2019;1166;R$ 273,20
1-2019;1170;R$ 869,18
1-2019;1172;R$ 735,86
1-2019;1179;R$ 258,21
1-2019;1204;R$ 273,96
1-2019;1205;R$ 859,76
1-2019;1206;R$ 1.610,66
1-2019;1210;R$ 56,09
1-2019;1211;R$ 122,23
1-2019;1216;R$ 1.426,65
1-2019;1224;R$ 80,81
1-2019;1227;R$ 75,03
1-2019;1231;R$ 531,95
1-2019;1232;R$ 2.153,80
1-2019;1234;R$ 408,67
1-2019;1303;R$ 16,82
1-2019;1339;R$ 1.959,98
1-2019;1372;R$ 20,66
1-2019;1374;R$ 215,83
1-2019;1376;R$ 25,44
1-2019;1377;R$ 207,33
1-2019;1378;R$ 82,80
1-2019;1389;R$ 559,47
1-2019;1399;R$ 57,92
1-2019;1417;R$ 335,99
1-2019;1420;R$ 2.931,68
1-2019;1421;R$ 2.605,76
1-2019;1456;R$ 30,95
1-2019;1468;R$ 2.682,87
1-2019;1470;R$ 2.698,03
